nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Narciso Rodriguez,All Of Me Eau De Parfum,Rp 2.250.000,"
        (4)
      ","
        3 sizes
      "
Bon Parfumeur,"601 Vetiver, Cedar, Bergamot EDP",Rp 975.000,"
        (4)
      ","
        3 sizes
      "
DIOR,Miss Dior Blooming Bouquet Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,Rp 1.250.000,"
        (472)
      ",
Lancôme,Idôle Nectar Eau de Parfum,Rp 1.990.000,"
        (7)
      ","
        3 types
      "
FRESH,Citron De Vigne Eau De Parfum,Rp 1.950.000,"
        (6)
      ","
        3 sizes
      "
Jo Malone London,English Pear & Freesia Home Candle,Rp 1.450.000,"
        (25)
      ",
DIOR,Miss Dior Eau De Parfum Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,Rp 1.500.000,"
        (453)
      ",
Kayali,Oudgasm Café Oud | 19 Eau De Parfum Intense,Rp 2.500.000,"
        (293)
      ","
        2 sizes
      "
L'Atelier Parfum,Dose Of Rose Eau De Parfum,Rp 1.415.700,"
        (6)
      ","
        2 sizes
      "
Armani Beauty,Sì Eau De Parfum Intense Spring Set,Rp 2.450.000,"
        (1)
      ",
L'Atelier Parfum,Tobacco Volute Eau De Parfum,Rp 1.415.700,"
        (9)
      ","
        2 sizes
      "
L'Atelier Parfum,Hot Splash Eau De Parfum,Rp 2.290.000,"
        (5)
      ","
        3 sizes
      "
Bon Parfumeur,"301 Amber, Cardamom, Sandalwood EDP",Rp 975.000,,"
        3 sizes
      "
Kayali,Oudgasm Vanilla Oud | 16 Eau de Parfum Intense ,Rp 690.000,"
        (28)
      ",
MCM,Compact Mini Set 4 x 7ML EDP,Rp 1.150.000,"
        (1)
      ",
Bon Parfumeur,"303 Chilly Pepper, Pink Berry, Benzoin EDP",Rp 1.400.000,,"
        2 sizes
      "
HERMÈS,Tutti Twilly d'Hermes Eau De Parfum,Rp 1.385.000,"
        (184)
      ","
        3 sizes
      "
Bon Parfumeur,"702 Incense, Lavender, Cashmere wood EDP",Rp 975.000,,"
        3 sizes
      "
Chloé,Atelier Des Fleurs Tuberosa 1974 Eau De Parfum,Rp 3.800.000,"
        (2)
      ",
MCM,Ultra Eau de Parfum Necklace Set,Rp 1.280.000,,
