nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Dolce&Gabbana,Dolce Garden Eau de Parfum,1950000,210,1
GIVENCHY,Gentleman Givenchy Eau de Toilette Intense,2145000,319,2
HERMÈS,L'Ombre des Merveilles Eau De Parfum,2350000,0,3
Dolce&Gabbana,The Only One Eau de Parfum Intense,2650000,1,1
Dolce&Gabbana,Dolce Peony Eau de Parfum,1950000,26,1
DIOR,Miss Dior Rose N'Roses Eau de Toilette Roller Pearl,1050000,147,1
Rabanne,Phantom Eau De Toilette,1350000,186,2
Dolce&Gabbana,The One Gold Eau de Parfum Intense,2530000,2,1
Michael Kors,Sexy Amber Eau De Parfum,1583000,3,2
Ferragamo,Foreste Di Seta Eau De Parfum,1900000,0,2
Jo Malone London,Blackberry & Bay Cologne,2885000,179,2
Gucci Beauty,Gucci Flora Gorgeous Magnolia Eau De Parfum,3200000,695,3
Narciso Rodriguez,Hair Mist,1070000,1,1
L'Atelier Parfum,Leather Black (K)Night Eau De Parfum,1415700,2,2
HERMÈS,H24 Eau De Parfum,2595000,162,2
MCM,MCM Eau de Parfum Necklace Set,1280000,1,1
HERMÈS,Terre D'Hermès Eau Givrée Eau De Parfum,2595000,53,2
Gucci Beauty,Gucci Bloom Ambrosia Di Fiori Eau De Parfum,3450000,330,2
Dolce&Gabbana,Dolce Lily Eau de Toilette,1760000,337,1
Juliette Has a Gun,Lipstick Fever Eau De Parfum,2780000,49,1
HERMÈS,Voyage d'Hermès Pure Perfume,2060000,3,1
L'Atelier Parfum,Rose Coup Foudre,2290000,15,3
Jo Malone London,Myrrh & Tonka Cologne Intense,575000,383,3
Jo Malone London,Wood Sage & Sea Salt Cologne,500000,1508,4
HERMÈS,Un Jardin À Cythère Eau De Toilette,1850000,220,2
FRESH,Sugar Lychee Eau De Parfum,1950000,2,3
Gucci Beauty,Gucci Guilty Elixir De Parfum Pour Homme,3000000,410,1
Jo Malone London,Wild Bluebell Cologne,2885000,360,3
BVLGARI,Pour Homme Eau De Toilette,2280000,6,1
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
Armani Beauty,Code Le Parfum,2510000,267,1
Versace,Eros Pour Femme Eau de Parfum,2282000,278,1
Marc Jacobs Fragrances,Perfect Eau de Toilette,2553000,367,3
Armani Beauty,Si Passione Éclat Eau De Parfum,3000000,82,1
Jo Malone London,Lime Basil & Mandarin Cologne,2885000,168,3
Bon Parfumeur,"106 Damascena Rose, Davana, Vanilla EDP",975000,3,3
Bon Parfumeur,"903 Nepalese Berries, Saffron, Oud EDP",1400000,0,2
Ferragamo,Bright Leather Men Eau De Toilette,1950000,2,3
DIOR,Miss Dior Parfum,2600000,63,2
Burberry Beauty,Her Eau De Toilette,2975000,514,2
L'Atelier Parfum,Coeur De Petales,1590000,24,3
Narciso Rodriguez,All Of Me Eau De Parfum,2250000,4,3
Bon Parfumeur,"601 Vetiver, Cedar, Bergamot EDP",975000,4,3
DIOR,Miss Dior Blooming Bouquet Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,1250000,472,1
Lancôme,Idôle Nectar Eau de Parfum,1990000,7,3
FRESH,Citron De Vigne Eau De Parfum,1950000,6,3
Jo Malone London,English Pear & Freesia Home Candle,1450000,25,1
DIOR,Miss Dior Eau De Parfum Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,1500000,453,1
Kayali,Oudgasm Café Oud | 19 Eau De Parfum Intense,2500000,293,2
